FIRE,MIN_NEAR_D,vegID,geomor1,aspect,slope,dem,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,tadem,pa,im,aridity
No,1777.554 ,7,31,37.648 ,89.958 ,344,-3.0125,15.0583,25.6094,1697.2358,25.4,-33.4,58.8,16.8167,-24.6167,16.8167,-24.6167,478,118,5,99.3016,301,18,301,18,-16,5265,838,785
No,932.878 ,6,42,32.674 ,89.997 ,873,-4.8208,15.1583,26.547,1573.8783,22.5,-34.6,57.1,13.8,-24.75,13.8,-24.75,541,145,4,106.5542,358,15,358,15,-62,4748,565,786
No,5397.049 ,21,31,39.766 ,89.995 ,635,-1.8542,14.8083,26.2559,1564.1472,24.6,-31.8,56.4,16.4667,-21.85,16.4667,-21.85,517,144,3,109.6146,344,12,344,12,-15,5271,835,786
No,470.379 ,6,27,59.199 ,89.985 ,683,-4.525,15.3167,26.1823,1663.0345,23.7,-34.8,58.5,15.1167,-25.5333,15.1167,-25.5333,505,128,5,102.4554,326,16,326,16,-62,4750,564,787
No,4619.235 ,10,42,80.684 ,89.996 ,663,-2.5833,14.6667,26.1905,1557.1993,23.9,-32.1,56,15.7333,-22.3833,15.7333,-22.3833,538,144,5,105.1184,350,17,350,17,-20,5201,834,787
No,2482.288 ,6,42,188.205 ,89.991 ,603,-3.6708,14.275,25.2208,1623.9758,23.9,-32.7,56.6,15.6,-24.05,15.6,-24.05,508,130,4,102.527,326,14,326,14,-33,4950,680,789
No,10246.311 ,3,31,141.310 ,89.994 ,564,-1.6042,14.6917,26.4715,1536.3896,24.5,-31,55.5,16.45,-21.1667,16.45,-21.1667,513,144,3,110.6374,345,12,345,12,-14,5279,823,789
No,1426.869 ,6,31,200.985 ,89.994 ,663,-2.725,14.5833,25.857,1572.5985,24,-32.4,56.4,15.7833,-22.7,15.7833,-22.7,535,142,4,105.0123,346,14,346,14,-22,5132,810,790
No,3202.635 ,6,32,111.430 ,89.994 ,776,-5.075,14.6,26.2118,1542.1436,21.9,-33.8,55.7,13.35,-24.4333,13.35,-24.4333,557,147,4,105.0966,365,15,365,15,-60,4832,584,791
No,353.510 ,6,19,188.351 ,89.996 ,424,-2.9208,14.375,24.7418,1669.8441,24.9,-33.2,58.1,16.6,-24.2333,16.6,-24.2333,504,126,5,98.9099,315,17,315,17,-28,4939,656,791
No,5097.325 ,6,42,256.048 ,89.994 ,654,-3.3417,13.6333,24.3888,1611.621,23.9,-32,55.9,15.8,-23.5333,15.8,-23.5333,518,133,4,102.135,331,15,331,15,-28,4934,647,791
No,3084.370 ,5,32,111.038 ,89.989 ,807,-4.6417,14.9167,26.4012,1565.1791,22.6,-33.9,56.5,13.95,-24.3833,13.95,-24.3833,535,140,4,105.1206,350,15,350,15,-62,4736,541,792
